onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	recalled	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	46.047	41259	SESS_START	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
46.047	10.0	114931	COUNTDOWN_START	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
56.475	3.774	131615	COUNTDOWN_END	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
60.249	1.6	137653	PRACTICE_WORD	n/a	n/a	BEAM	1	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
62.8	1.6	141734	PRACTICE_WORD	n/a	n/a	RING	2	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
65.318	1.6	145763	PRACTICE_WORD	n/a	n/a	ATTIC	3	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
67.767	1.6	149681	PRACTICE_WORD	n/a	n/a	CAMEL	4	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
70.268	1.6	153682	PRACTICE_WORD	n/a	n/a	FLOOD	5	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
72.785	1.6	157709	PRACTICE_WORD	n/a	n/a	WATCH	6	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
75.236	1.6	161631	PRACTICE_WORD	n/a	n/a	TONGUE	7	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
77.786	1.6	165710	PRACTICE_WORD	n/a	n/a	CHEST	8	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
80.288	1.6	169713	PRACTICE_WORD	n/a	n/a	WAGON	9	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
82.82	1.6	173764	PRACTICE_WORD	n/a	n/a	RHINO	10	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
85.288	1.6	177713	PRACTICE_WORD	n/a	n/a	COTTON	11	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
87.688	1.6	181553	PRACTICE_WORD	n/a	n/a	IRON	12	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
89.306	0.0	184142	PRACTICE_DISTRACT_START	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
89.306	0.017	184142	START	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
89.323	3.033	184169	PROB	3.009	n/a	n/a	-999	0	-1	[2, 1, 2]	5	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
92.356	10.918	189021	PROB	10.895	n/a	n/a	-999	0	-1	[8, 6, 5]	19	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
103.274	4.951	206489	PROB	4.921	n/a	n/a	-999	0	-1	[3, 1, 9]	13	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
108.225	4.986	214410	PROB	4.986	n/a	n/a	-999	0	-1	[2, 5, 7]	14	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
113.211	0.015	222388	STOP	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
113.226	0.602	222412	PRACTICE_DISTRACT_END	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
113.828	30.516	223375	PRACTICE_REC_START	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
144.344	16.258	272198	PRACTICE_REC_END	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
160.602	10.0	298209	COUNTDOWN_START	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
160.603	10.427	298211	TRIAL	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
171.03	0.006	314893	COUNTDOWN_END	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
171.036	1.6	314903	ORIENT	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	FR2	1	R1026D
173.208	4.6	318378	STIM_ON	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	1	1	4600	LOTD3	LOTD4	500.0	50	230	300	FR2	1	R1026D
