onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	30.907	337226	SESS_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
30.907	10.0	368132	COUNTDOWN_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
41.335	3.862	378560	COUNTDOWN_END	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
45.197	1.6	382422	PRACTICE_WORD	n/a	n/a	CHEST	1	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
47.652	1.6	384877	PRACTICE_WORD	n/a	n/a	IRON	2	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
50.189	1.6	387414	PRACTICE_WORD	n/a	n/a	TONGUE	3	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
52.577	1.6	389802	PRACTICE_WORD	n/a	n/a	WAGON	4	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
55.047	1.6	392272	PRACTICE_WORD	n/a	n/a	CAMEL	5	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
57.569	1.6	394794	PRACTICE_WORD	n/a	n/a	COTTON	6	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
59.989	1.6	397214	PRACTICE_WORD	n/a	n/a	BEAM	7	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
62.426	1.6	399651	PRACTICE_WORD	n/a	n/a	RHINO	8	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
64.931	1.6	402156	PRACTICE_WORD	n/a	n/a	ATTIC	9	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
67.402	1.6	404627	PRACTICE_WORD	n/a	n/a	WATCH	10	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
69.889	1.6	407114	PRACTICE_WORD	n/a	n/a	FLOOD	11	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
72.41	1.6	409635	PRACTICE_WORD	n/a	n/a	RING	12	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
74.029	0.001	411254	PRACTICE_DISTRACT_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
74.03	0.367	411255	START	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
74.397	2.838	411622	PROB	2.806	n/a	n/a	-999	-1	[2, 7, 9]	18	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
77.235	3.522	414460	PROB	3.496	n/a	n/a	-999	-1	[2, 8, 5]	15	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
80.757	3.289	417982	PROB	3.262	n/a	n/a	-999	-1	[9, 2, 8]	19	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
84.046	5.042	421271	PROB	5.005	n/a	n/a	-999	-1	[9, 6, 8]	23	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
89.088	2.287	426313	PROB	2.267	n/a	n/a	-999	-1	[5, 1, 4]	10	0	0	0	n/a	n/a	0.0	0	0	0	FR2	2	R1030J
