onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	recalled	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	22.148	196417	SESS_START	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
22.148	10.0	207490	COUNTDOWN_START	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
32.576	3.491	212703	COUNTDOWN_END	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
36.067	1.6	214449	PRACTICE_WORD	n/a	n/a	FLOOD	1	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
38.585	1.6	215707	PRACTICE_WORD	n/a	n/a	WATCH	2	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
41.101	1.6	216965	PRACTICE_WORD	n/a	n/a	CHEST	3	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
43.718	1.6	218274	PRACTICE_WORD	n/a	n/a	IRON	4	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
46.186	1.6	219508	PRACTICE_WORD	n/a	n/a	BEAM	5	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
48.786	1.6	220807	PRACTICE_WORD	n/a	n/a	COTTON	6	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
51.187	1.6	222008	PRACTICE_WORD	n/a	n/a	RHINO	7	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
53.737	1.6	223283	PRACTICE_WORD	n/a	n/a	CAMEL	8	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
56.138	1.6	224483	PRACTICE_WORD	n/a	n/a	ATTIC	9	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
58.721	1.6	225774	PRACTICE_WORD	n/a	n/a	WAGON	10	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
61.172	1.6	227000	PRACTICE_WORD	n/a	n/a	RING	11	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
63.756	1.6	228292	PRACTICE_WORD	n/a	n/a	TONGUE	12	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
65.357	0.0	229092	PRACTICE_DISTRACT_START	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
65.357	0.017	229092	START	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
65.374	4.951	229101	PROB	4.927	n/a	n/a	-999	0	-1	[9, 6, 9]	24	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
70.325	3.1	231576	PROB	3.08	n/a	n/a	-999	0	-1	[5, 6, 4]	15	0	0	0	n/a	n/a	0.0	0	0	0	FR2	0	R1031M
